id,naslov,avtor,ocene,povprecje,stevilo_glasujocih,tocke
8652190,Awakened,P.C. Cast,"110,457",4.02,90,"6,250"
7937462,The Short Second Life of Bree Tanner,Stephenie Meyer,"162,909",3.51,93,"6,219"
37793,A Doll's House,Henrik Ibsen,"83,233",3.69,109,"6,167"
8852,Macbeth,William Shakespeare,"544,310",3.88,87,"6,142"
581811,Valley of the Dolls,Jacqueline Susann,"39,136",3.71,101,"6,139"
3165162,Percy Jackson and the Olympians,Rick Riordan,"34,204",4.58,82,"6,124"
10929,For One More Day,Mitch Albom,"109,172",4.09,89,"6,121"
21484,The Winds of War,Herman Wouk,"44,783",4.36,91,"6,116"
7600924,Forbidden,Tabitha Suzuma,"44,876",4.06,69,"6,095"
5174,Fall on Your Knees,Ann-Marie MacDonald,"55,213",3.95,82,"6,079"
407429,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,"81,980",4.20,87,"6,071"
6134826,Blue Moon,Alyson Noel,"79,669",3.61,87,"6,069"
105992,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,"98,666",4.01,95,"6,044"
6259,Birdsong,Sebastian Faulks,"57,455",4.07,81,"6,042"
5932,Twenty Love Poems and a Song of Despair,Pablo Neruda,"39,041",4.32,88,"6,031"
7137775,Rules of Attraction,Simone Elkeles,"73,626",4.21,72,"6,009"
40493,The Valley of Horses,Jean M. Auel,"62,491",3.98,94,"6,008"
31338,Memnoch the Devil,Anne Rice,"68,902",3.74,86,"5,991"
7747064,The Iron Daughter,Julie Kagawa,"99,753",4.13,80,"5,987"
19405702,Walks Away Woman,Ki Longfellow,755,4.29,62,"5,958"
1923820,Holy Bible: King James Version,Anonymous,"178,070",4.43,73,"5,955"
344262,Bloodfever,Karen Marie Moning,"80,769",4.30,78,"5,946"
18705209,The Blood of Olympus,Rick Riordan,"135,927",4.42,80,"5,945"
943402,Let the Right One In,John Ajvide Lindqvist,"69,334",4.07,77,"5,934"
8235178,Across the Universe,Beth Revis,"103,170",3.78,76,"5,926"
16328,The Murder of Roger Ackroyd,Agatha Christie,"91,822",4.21,84,"5,901"
17267,The Great Divorce,C.S. Lewis,"82,991",4.28,73,"5,900"
43916,Magician,Raymond E. Feist,"49,690",4.33,71,"5,892"
5094,The Drawing of the Three,Stephen King,"168,844",4.23,82,"5,878"
107301,A Town Like Alice,Nevil Shute,"41,233",4.12,82,"5,876"
12985,The Tempest,William Shakespeare,"141,709",3.81,95,"5,857"
102868,A Study in Scarlet,Arthur Conan Doyle,"233,096",4.15,87,"5,853"
10194157,Shadow and Bone,Leigh Bardugo,"166,470",4.05,69,"5,833"
365,Dirk Gently's Holistic Detective Agency,Douglas Adams,"99,516",3.97,78,"5,832"
9680718,Half-Blood,Jennifer L. Armentrout,"66,951",4.15,71,"5,825"
2744,Anansi Boys,Neil Gaiman,"159,485",4.01,77,"5,818"
9409458,Forever,Maggie Stiefvater,"93,718",3.91,81,"5,797"
5604848,Destined for an Early Grave,Jeaniene Frost,"69,599",4.34,73,"5,792"
17309,This Present Darkness,Frank E. Peretti,"77,263",4.24,81,"5,781"
11557,Swan Song,Robert McCammon,"43,956",4.28,71,"5,777"
77163,Stones from the River,Ursula Hegi,"83,664",4.07,90,"5,769"
5139,The Devil Wears Prada,Lauren Weisberger,"698,697",3.71,88,"5,740"
7437,Naked Lunch,William S. Burroughs,"63,515",3.46,77,"5,739"
9462795,Starcrossed,Josephine Angelini,"56,426",4.08,64,"5,738"
11991,The Fall,Albert Camus,"52,749",4.06,77,"5,724"
47212,Storm Front,Jim Butcher,"228,630",4.02,72,"5,718"
7619,The Time Quartet Box Set,Madeleine L'Engle,"10,744",4.34,70,"5,702"
460548,"Go, Dog. Go!",P.D. Eastman,"68,675",4.08,88,"5,688"
9592,Mother Night,Kurt Vonnegut,"60,291",4.21,75,"5,677"
3462,The Rescue,Nicholas Sparks,"151,886",4.10,78,"5,676"
13644052,Origin,Jennifer L. Armentrout,"71,251",4.43,72,"5,671"
36314,Tales of H.P. Lovecraft,H.P. Lovecraft,"5,076",4.20,85,"5,642"
29209,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,"86,480",4.07,79,"5,635"
27822,Eugene Onegin,Alexander Pushkin,"40,004",4.09,79,"5,601"
22896,Practical Magic,Alice Hoffman,"42,928",3.80,85,"5,575"
29797,The Pilgrim's Progress,John Bunyan,"80,690",3.99,83,"5,572"
2985500,"Night World, No. 2",L.J. Smith,"54,693",4.20,75,"5,571"
34532,Hogfather,Terry Pratchett,"61,463",4.22,77,"5,565"
11602,Hearts in Atlantis,Stephen King,"73,356",3.81,77,"5,550"
187020,Empire Falls,Richard Russo,"94,973",3.91,79,"5,548"
33456,A Dirty Job,Christopher Moore,"87,408",4.08,71,"5,527"
243705,The Collector,John Fowles,"39,192",3.99,86,"5,527"
8694,"Life, the Universe and Everything",Douglas Adams,"155,067",4.20,87,"5,523"
7669,Timeline,Michael Crichton,"163,164",3.83,75,"5,478"
35743,The Tin Drum,Günter Grass,"32,405",3.96,80,"5,477"
28407,Germinal,Émile Zola,"22,964",4.10,71,"5,472"
15196,Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,"202,036",4.35,79,"5,467"
16070903,Fallen Too Far,Abbi Glines,"146,502",4.21,64,"5,462"
5479,Brave New World / Brave New World Revisited,Aldous Huxley,"114,992",4.16,80,"5,447"
59960,Batman: The Dark Knight Returns,Frank Miller,"146,413",4.25,76,"5,421"
232576,Harriet the Spy,Louise Fitzhugh,"84,290",3.96,86,"5,420"
9067850,The Throne of Fire,Rick Riordan,"128,236",4.21,74,"5,413"
15926,Nights in Rodanthe,Nicholas Sparks,"139,233",3.83,78,"5,400"
8564935,Switched,Amanda Hocking,"82,300",3.89,64,"5,395"
24800,House of Leaves,Mark Z. Danielewski,"93,475",4.13,60,"5,391"
64222,Going Postal,Terry Pratchett,"84,885",4.36,76,"5,381"
91661,The Beekeeper's Apprentice,Laurie R. King,"56,137",4.08,70,"5,365"
3227063,The Way of Shadows,Brent Weeks,"119,807",4.15,66,"5,365"
531350,The Choice,Nicholas Sparks,"132,790",3.99,75,"5,332"
68429,The Well of Ascension,Brandon Sanderson,"184,121",4.35,64,"5,332"
89724,We Have Always Lived in the Castle,Shirley Jackson,"59,049",4.04,67,"5,325"
5359,The Client,John Grisham,"335,394",3.98,94,"5,317"
83369,The Mysterious Benedict Society,Trenton Lee Stewart,"98,385",4.14,66,"5,312"
269322,The Raven and Other Poems,Edgar Allan Poe,"35,585",4.30,94,"5,280"
13643567,The Evolution of Mara Dyer,Michelle Hodkin,"73,051",4.33,61,"5,251"
162085,Pretty Little Liars,Sara Shepard,"170,401",3.89,68,"5,241"
2122,The Fountainhead,Ayn Rand,"262,047",3.85,63,"5,234"
22557272,The Girl on the Train,Paula Hawkins,"1,372,188",3.89,66,"5,234"
7042,The Tale of Genji,Murasaki Shikibu,"8,251",3.71,70,"5,211"
51799,The Decameron,Giovanni Boccaccio,"27,284",3.86,85,"5,203"
60792,The Accidental Tourist,Anne Tyler,"84,359",3.90,90,"5,187"
3579,The Complete Anne of Green Gables Boxed Set,L.M. Montgomery,"93,551",4.43,80,"5,179"
37190,The Tale of Despereaux,Kate DiCamillo,"127,811",4.01,72,"5,179"
53639,Zorba the Greek,Nikos Kazantzakis,"25,371",4.09,66,"5,179"
12658,Hawaii,James A. Michener,"63,167",4.19,85,"5,172"
13651,The Dispossessed,Ursula K. Le Guin,"56,957",4.19,68,"5,163"
7778981,Halo,Alexandra Adornetto,"59,814",3.67,72,"5,151"
13584236,Fifty Shades Trilogy,E.L. James,"104,013",4.13,62,"5,124"
